0
";2017-09-08 15:13;0;0;""She has stopped hiding it anyway by leaking that fake #ChebukatiMemoToChiloba So yes  #AkombeMustGo https:// twitter.com/citisentvkenya /status/905831458769686529 …"";;;#ChebukatiMemoToChiloba #AkombeMustGo;""906128279295406082"";https://twitter.com/MsemaKweliKenya/status/906128279295406082       "
";2017-09-08 14:46;3;3;""NASA has planted Akombe in IEBC to help them get power through the back door. Ashindwe #AkombeMustGo @MotoBilaMoshi @vinny_wa @kot @Ma3Route pic.twitter.com/yF2YWFLty0"";;@MotoBilaMoshi @vinny_wa @kot @Ma3Route;#AkombeMustGo;""906121446057017344"";https://twitter.com/MsemaKweliKenya/status/906121446057017344        "
";2017-09-08 14:43;1;2;""The paybill number isn't even for NASA...it's ODM. Taking Kenyans for fools #AkombeMustGo https:// twitter.com/Mkibet6Mutai/s tatus/906068740562878464 …"";;;#AkombeMustGo;""906120883454038016"";https://twitter.com/MsemaKweliKenya/status/906120883454038016        "
";2017-09-08 14:26;1;1;""#AkombeMustGo Delila u won't shavevour samson"";;;#AkombeMustGo;""906116506882363392"";https://twitter.com/PeterMb18761462/status/906116506882363392        "
";2017-09-08 13:42;3;3;""IEBC can't keep meeting NASA in absence of other parties. Where is the transparency? #AkombeMustGo @TheKenyanPost @okeri_kervin @iklansedap_ pic.twitter.com/ApMLwhEO0p"";;@TheKenyanPost @okeri_kervin @iklansedap_;#AkombeMustGo;""906105539758886912"";https://twitter.com/MsemaKweliKenya/status/906105539758886912        "
";2017-09-08 13:31;1;1;""The only ticket we can contribute for is raila's ticket to bondo  nothing more nothing less #AkombeMustGo #RailaPresser"";;;#AkombeMustGo #RailaPresser;""906102643516461056"";https://twitter.com/gicharuirungu/status/906102643516461056       "
";2017-09-08 13:21;0;1;""NASA's plot to use Akombe to grab back door power is revealing itself. #AkombeMustGo @TheKenyanPost @OnkundiRichard @Uchaguzi_2017 @LilKoima pic.twitter.com/Ade43iLb1e"";;@TheKenyanPost @OnkundiRichard @Uchaguzi_2017 @LilKoima;#AkombeMustGo;""906100205761724416"";https://twitter.com/MsemaKweliKenya/status/906100205761724416        "
";2017-09-08 13:19;15;8;""Akombe is leading Chebukati into a deep dark hole. History is watching #AkombeMustGo @GengaJared @kibuchimzito @Muhahami @kenyadailyeye @kot pic.twitter.com/qIWGIeX2v0"";;@GengaJared @kibuchimzito @Muhahami @kenyadailyeye @kot;#AkombeMustGo;""906099567787216896"";https://twitter.com/MsemaKweliKenya/status/906099567787216896        "
";2017-09-08 13:16;0;1;""Akombe is & always has been NASA mole. Credible election impossible as long as she is in IEBC #AkombeMustGo @Atanasi_ @Cosmic_Boom @iamodu_ pic.twitter.com/ndGoVk9Nod"";;@Atanasi_ @Cosmic_Boom @iamodu_;#AkombeMustGo;""906099024092164096"";https://twitter.com/MsemaKweliKenya/status/906099024092164096        "
";2017-09-08 13:16;1;0;""French firm confirms @IEBCKenya servers were never hacked.(It seems Forms were however ""stolen"" and exchanged with fake ones) #AkombeMustGo pic.twitter.com/GxjBCnQpj1"";;@IEBCKenya;#AkombeMustGo;""906099007046463488"";https://twitter.com/mandere/status/906099007046463488        "
";2017-09-08 13:13;1;2;""#AkombeMustGo #RailaPresser @MotoBilaMoshi @kibuchimzito @ItsPettyWap @LilKoima @vinny_wa @CollapsedCord @xyzshow @mosomyx pic.twitter.com/DPi5MJKkxj"";;@MotoBilaMoshi @kibuchimzito @ItsPettyWap @LilKoima @vinny_wa @CollapsedCord @xyzshow @mosomyx;#AkombeMustGo #RailaPresser;""906098196602081281"";https://twitter.com/MsemaKweliKenya/status/906098196602081281        "
";2017-09-08 13:08;0;0;""#AkombeMustGo Why did she took unpaid leave from UN to come and work for @IEBCKenya"";;@IEBCKenya;#AkombeMustGo;""906096863471906816"";https://twitter.com/BernyK6/status/906096863471906816        "
";2017-09-08 13:05;0;0;""#AkombeMustGo Immediately after the Elections  why did she lie she was heading to Dubai knowing very well she was headed to US to meet Kiai"";;;#AkombeMustGo;""906096180198854656"";https://twitter.com/BernyK6/status/906096180198854656       "
";2017-09-08 13:05;0;0;""The whole time Akombe has been NASA's inside man at IEBC causing chaos & confusion #AkombeMustGo @ItsPettyWap @githinjigichuhi @GhaflaKenya pic.twitter.com/4OLs5LuK8y"";;@ItsPettyWap @githinjigichuhi @GhaflaKenya;#AkombeMustGo;""906096097701089280"";https://twitter.com/MsemaKweliKenya/status/906096097701089280        "
";2017-09-08 13:02;0;0;""But @UKenyatta won according to you? #NASA hoped #AkombeMustGo would do the trick for @RailaOdinga pole #ThePeopleAreSupreme pic.twitter.com/lIdauvQDop"";;@UKenyatta @RailaOdinga;#NASA #AkombeMustGo #ThePeopleAreSupreme;""906095455070806019"";https://twitter.com/mandere/status/906095455070806019        "
";2017-09-08 12:58;2;1;""Raila is planning to take power through the back door & Akombe is the key holder. Be warned #AkombeMustGo @Atanasi_ @NyamburaNdich @iamodu_ pic.twitter.com/3ne6X2Hivn"";;@Atanasi_ @NyamburaNdich @iamodu_;#AkombeMustGo;""906094385963651072"";https://twitter.com/MsemaKweliKenya/status/906094385963651072        "
";2017-09-08 12:56;0;0;""no wonder she is so silent #AkombeMustGo"";;;#AkombeMustGo;""906093841337524224"";https://twitter.com/nnixber/status/906093841337524224        "
";2017-09-08 12:54;1;2;""No wonder NASA never asked for her resignation #AkombeMustGo"";;;#AkombeMustGo;""906093363824394241"";https://twitter.com/gicharuirungu/status/906093363824394241        "
";2017-09-08 12:53;0;0;""#AkombeMustGo this is too serious  election nulled coz of sex and triballords  the burning that is a awaiting you in hell only Cain knows."";;;#AkombeMustGo;""906093106243784705"";https://twitter.com/gicharuirungu/status/906093106243784705      "
";2017-09-08 12:45;0;0;""#AkombeMustGo why can bangle a presidential election then make another person a sacrificial lamb? Remember sulphur is been exported to hell."";;;#AkombeMustGo;""906091205456482304"";https://twitter.com/gicharuirungu/status/906091205456482304        "
";2017-09-08 12:40;0;0;""#AkombeMustGo I now got answers of what was she going to do in America  she is a real thug  this are kinds who should be jailed for life"";;;#AkombeMustGo;""906089764184621056"";https://twitter.com/gicharuirungu/status/906089764184621056      "
";2017-09-08 12:38;0;0;""#ChebukatiMemoToChiloba #AkombeMustGo .. Isaac Rutto knows that @RailaOdinga lost fairly... Only a fool makes same mistake twice.. Welcome"";;@RailaOdinga;#ChebukatiMemoToChiloba #AkombeMustGo;""906089330573172736"";https://twitter.com/MutumaHarrison/status/906089330573172736        "
